200 200
32	11	6	26	47	23	22	36	16	43	31	19	38	46	46	37	10	2	1	11	39	25	6	19	24	47	32	45	17	25	36	25	20	38	12	43	50	25	2	20	4	22	38	18	41	36	15	26	3	17	2	13	46	10	31	24	46	25	22	36	22	9	18	25	36	31	49	50	39	12	37	37	7	38	29	14	44	1	30	21	12	9	50	13	43	49	41	36	49	32	43	18	11	16	47	15	9	24	22	11	12	15	39	49	41	42	44	9	5	26	9	12	14	20	33	37	16	17	19	29	7	34	15	2	1	13	23	31	24	30	42	42	36	5	4	26	19	9	20	35	50	29	26	34	20	50	18	18	24	48	22	46	14	36	18	29	40	10	47	36	10	37	37	43	39	9	43	32	46	38	43	2	35	26	38	25	10	37	48	41	1	35	28	40	13	20	12	33	28	31	17	35	10	48	45	40	26	11	15	49
23	41	28	19	6	2	31	42	45	21	41	50	8	34	7	45	32	46	8	30	50	24	48	4	5	50	26	7	7	35	33	39	39	45	44	14	28	15	40	31	2	33	31	10	30	29	7	14	6	26	18	35	43	19	37	33	38	44	49	19	31	43	47	15	48	5	23	43	32	14	19	47	14	10	47	35	35	28	36	49	48	49	24	19	39	41	20	44	5	30	33	9	1	43	46	28	16	15	21	14	19	13	14	44	2	14	41	46	46	29	37	25	40	14	30	16	24	43	26	1	18	8	3	21	44	20	24	37	31	21	43	31	10	49	10	7	45	41	48	8	5	43	3	25	8	47	15	34	11	7	18	17	25	30	3	50	8	36	30	16	32	12	3	2	44	31	13	44	3	35	46	49	48	40	50	37	44	39	27	15	3	33	38	8	24	35	36	5	3	2	38	14	35	46	38	25	19	39	49	29
50	13	22	48	21	33	26	15	26	5	1	48	31	17	9	28	29	28	11	44	23	49	29	39	6	34	22	21	15	6	34	32	33	8	50	31	4	29	24	37	4	26	28	2	22	9	22	13	20	21	21	4	8	16	48	19	42	7	1	20	12	6	20	27	15	18	15	16	35	30	23	32	12	21	48	44	22	24	29	13	35	21	1	34	36	33	42	35	31	15	31	24	48	40	44	4	23	36	37	27	47	36	30	30	4	8	42	7	36	36	34	37	25	20	19	1	41	18	5	24	21	28	31	48	17	2	42	21	39	48	12	11	28	16	10	49	38	50	4	47	41	15	30	7	7	16	4	34	46	48	14	12	39	27	8	46	27	17	44	13	9	45	43	9	29	15	14	10	45	15	26	7	15	38	29	18	9	46	39	18	11	31	29	35	12	3	43	41	33	31	31	40	29	50	37	29	42	41	32	21
1	23	22	26	4	14	10	6	14	36	44	1	30	35	23	8	31	48	18	46	9	28	4	16	32	26	4	42	35	43	50	26	27	40	17	34	10	38	7	49	2	34	16	24	40	35	36	9	34	44	15	47	34	47	13	28	39	34	16	33	49	16	18	47	6	17	30	43	30	36	20	43	26	15	18	18	8	5	8	16	43	6	16	30	49	39	8	24	38	33	27	8	13	37	25	1	35	29	30	22	2	36	45	22	19	21	45	11	1	40	4	2	23	12	27	37	10	6	3	39	30	24	22	45	10	3	45	35	26	8	5	12	42	32	47	11	19	22	8	20	7	27	38	39	34	1	10	29	43	11	4	11	13	46	32	44	47	28	42	46	10	45	13	14	30	37	49	26	45	42	27	20	29	16	37	13	1	49	16	15	13	40	48	17	31	46	35	15	46	24	26	40	26	49	48	43	18	39	2	11
10	6	27	15	19	23	23	50	9	10	2	3	45	47	39	25	36	3	39	33	41	9	35	4	39	10	12	24	47	21	38	41	7	42	37	25	7	42	39	33	4	44	14	12	17	40	21	7	46	27	45	26	31	45	16	1	38	35	40	7	13	28	28	27	35	48	37	23	14	37	45	20	28	47	19	50	39	41	47	1	6	42	12	23	22	35	50	41	22	3	18	22	29	34	18	40	12	40	2	26	50	37	25	17	12	50	39	8	5	33	9	25	23	32	11	31	14	21	2	34	6	25	37	16	40	22	43	29	9	36	19	22	3	48	15	21	8	45	47	38	45	26	30	14	7	25	36	37	29	43	43	24	22	6	12	36	2	45	22	27	15	6	14	10	6	45	9	28	48	36	12	33	4	46	34	18	18	46	25	10	5	16	22	8	13	37	13	45	6	22	3	25	32	5	38	1	34	43	48	39
16	12	47	47	15	41	39	35	25	33	41	9	40	27	3	4	9	17	2	49	1	33	17	49	29	35	18	21	2	49	43	27	6	29	32	23	29	35	27	33	41	21	1	10	16	35	29	49	26	31	21	38	44	20	28	11	9	27	41	47	43	31	14	25	12	41	21	47	20	16	18	28	15	35	4	41	14	19	47	48	11	6	18	18	2	39	34	50	10	43	47	31	48	27	2	41	28	37	41	10	4	24	20	27	42	17	50	44	28	39	26	29	40	7	41	34	14	27	34	50	23	42	14	31	15	27	41	45	28	6	48	15	44	34	21	32	20	3	8	13	15	37	12	50	43	5	11	11	20	31	21	19	37	18	39	49	23	48	7	11	40	44	27	42	20	42	32	44	22	36	38	43	26	39	38	47	35	13	10	23	38	25	30	21	31	14	41	14	17	2	5	44	39	35	39	22	6	13	8	14
33	7	26	2	7	15	8	39	23	11	38	32	48	21	38	27	49	14	33	22	27	16	35	11	42	33	42	34	14	6	48	28	44	50	47	4	11	16	14	37	25	5	30	50	23	12	41	21	49	7	1	4	3	32	7	1	43	46	46	19	43	25	8	43	24	33	23	9	42	18	24	22	11	46	33	34	44	3	29	20	41	38	19	37	38	49	17	44	45	25	19	4	35	2	39	35	30	37	2	36	44	7	27	18	40	32	39	45	11	42	48	38	37	25	14	23	31	15	13	48	21	34	31	5	32	16	43	50	27	39	8	29	34	24	45	32	9	7	10	20	48	43	21	42	40	15	9	17	33	1	45	37	14	46	44	49	42	24	25	37	41	38	2	15	34	50	44	45	5	48	44	43	5	37	13	21	21	44	9	49	41	14	20	28	15	5	18	32	47	10	39	27	4	30	11	40	11	36	37	42
13	5	11	25	5	13	18	18	18	18	48	27	42	5	36	22	31	8	6	17	35	25	24	48	40	8	49	22	13	1	16	19	42	38	30	3	13	22	13	4	38	49	29	37	6	7	20	36	38	27	38	44	22	2	13	8	14	22	43	16	31	32	43	45	42	11	5	31	16	34	31	30	22	47	6	9	22	12	46	39	21	9	18	38	41	14	39	6	47	26	31	35	41	18	6	31	10	19	42	29	22	24	8	48	49	29	30	39	46	43	48	30	5	48	34	21	21	27	16	35	3	40	28	50	38	15	3	18	44	14	35	31	27	23	13	36	5	29	28	19	40	28	28	20	25	32	49	17	28	45	33	8	44	9	44	45	50	12	22	45	18	15	22	19	40	41	43	35	22	35	10	3	22	5	9	41	20	49	30	21	18	36	9	13	44	16	8	26	13	43	26	7	16	1	44	48	10	10	41	7
10	10	3	47	4	32	3	21	26	7	17	22	33	44	34	17	10	11	14	1	26	39	25	41	20	36	35	45	39	15	33	40	22	5	25	10	16	3	4	45	10	10	4	48	28	19	47	44	12	49	27	35	15	45	35	7	49	2	33	39	15	41	1	10	12	7	40	49	17	10	41	33	4	33	44	6	25	9	30	28	5	38	28	14	49	44	6	49	20	36	22	49	32	1	50	49	35	8	8	45	35	29	28	23	43	37	35	11	36	38	18	27	3	17	33	28	4	27	32	16	18	3	35	47	43	41	7	18	16	5	49	22	44	15	34	7	23	50	27	18	29	50	18	16	50	31	10	41	24	21	21	24	6	3	13	1	46	39	37	3	12	37	44	46	37	41	24	50	38	1	24	49	3	8	36	34	39	19	35	3	29	28	19	9	48	49	2	13	40	31	45	3	23	31	44	1	10	1	8	38
3	39	32	8	36	47	23	10	7	29	29	36	38	22	49	34	38	6	35	40	35	1	16	50	38	7	49	9	17	5	14	3	3	49	10	27	20	21	25	11	41	41	28	34	15	23	33	33	30	23	25	1	5	12	9	15	30	3	44	31	12	45	26	14	17	22	5	20	12	20	30	18	17	39	47	12	4	44	30	1	49	9	36	4	49	49	34	37	42	5	9	13	37	15	34	25	42	8	4	1	37	16	5	20	18	46	9	5	4	26	33	44	16	7	15	41	2	46	25	32	21	29	37	38	48	24	19	44	32	35	34	47	30	44	46	3	9	47	6	45	29	12	3	25	42	16	48	23	43	2	47	9	31	27	2	24	50	13	42	2	29	43	15	29	13	18	48	1	3	19	43	28	32	26	45	11	26	49	3	14	14	21	47	1	49	5	15	3	26	6	19	2	34	10	7	36	42	8	44	27
